time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,JinRO,WuRO,runoff
20100102,7.33816528,-12.2471647,895.096069,81.9244308,360.319397,-3.28E-09,0,1255.41797,8.13E-06,279.333252,1255.41553,21.0716228,0,16.6874924,279.333252,0,0,-56.4135361,8.54E-06,4.18E-07,0.002489096,981.69,7.29,12.24,0.99,0,3.05,1.45,-0.57,-0.41,9768892,10810768,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875,574.8906,1223.5391
20100103,7.32700491,1.20237601,894.692871,108.513779,359.738098,6.62E-08,0,1254.43433,8.50E-06,280.875305,1254.43103,22.4302597,0,25.7357864,280.875305,0,0,-59.1319466,9.09E-06,5.24E-07,0.00335787,976.18,7.14,13.5,0.39,0.01,3.35,1.91,-1.41,-0.33,11673704,12919072,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422,568.89844,1206.75
20100104,7.45507622,6.55318689,894.232727,53.1925735,360.129395,3.51E-07,0,1254.38257,5.49E-06,282.634277,1254.36194,14.8025112,0,21.496933,282.634277,0,0,-10.3324986,6.00E-06,1.56E-07,0.020431761,977.04,7.11,8.57,3.67,4.2,4.34,0.86,-0.56,0.25,3682240,4074596,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875,563.0078,1188.8984
20100105,7.4735651,-13.075038,894.387817,16.4726791,363.138367,-1.90E-08,0,1257.5647,1.56E-06,280.492218,1257.52625,3.82560039,0,5.7420907,280.492218,0,0,-19.990654,1.55E-06,6.33E-09,0.038534775,981.17,7.25,8.7,5.87,1.92,5.55,1.32,0.33,-1.19,1670416,1848588,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125,559.9844,1177.2188
20100106,7.39377928,0.79998666,894.821533,65.4660187,362.286652,6.49E-07,0,1257.11792,8.63E-06,282.213104,1257.10815,23.6337261,0,14.4793892,282.213104,0,0,-26.5479031,9.58E-06,3.06E-07,0.009783408,982.58,8.32,12.27,5.76,0.01,4.18,1.68,-0.99,-1.03,7324298,8107100,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375,560.8281,1174.7969
20100107,7.37182951,-9.6310339,894.946533,66.4782715,361.66925,1.25E-07,0,1256.62048,7.99E-06,281.560059,1256.61597,21.0923786,0,13.9709663,281.560059,0,0,-41.0572166,8.55E-06,4.35E-07,0.004720484,984.47,8.52,12.02,3.75,0,4.7,0.9,0.24,-0.3,7775874,8604824,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875,562.71875,1175.0312
20100108,7.33773804,7.52948761,894.847839,111.300209,360.706604,1.11E-07,0,1255.5564,1.08E-05,283.211517,1255.55457,28.8006134,0,23.8106651,283.211517,0,0,-51.1430511,1.17E-05,7.40E-07,0.001971381,976.16,9.26,13.89,3.34,0,4.56,1.73,-0.96,-0.68,11670122,12916840,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188,562.3906,1174.2969
20100109,7.36485529,4.28764057,894.55072,42.5372086,360.28952,3.09E-07,0,1254.85889,5.60E-06,284.013916,1254.84033,15.0710592,0,11.8026037,284.013916,0,0,-11.3727369,6.11E-06,2.03E-07,0.018620709,977.9,9.28,11.04,7.81,0.28,5.75,0.74,0.04,0.1,3342306,3699260,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625,558.34375,1173.7969
20100110,7.43861485,-1.65486825,894.322754,35.3736954,361.1604,5.32E-07,0,1255.51257,3.56E-06,283.734802,1255.48315,10.3983946,0,13.8512802,283.734802,0,0,-12.781291,4.22E-06,1.27E-07,0.029443203,982.84,9.8,12.48,6.99,1.64,6.64,1.57,-0.97,-0.59,4737446,5243040,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312,551.3906,1171.7812
20100111,7.42795086,-14.1942005,894.397156,30.5486317,362.026154,9.32E-07,0,1256.44397,6.49E-06,281.237854,1256.4231,18.432478,0,8.96621895,281.237854,0,0,-17.3559914,7.47E-06,5.21E-08,0.020714371,988.35,6.58,8.1,3.82,4.98,4.8,2.01,-1.7,0.12,2024746,2241332,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312,543.59375,1167.9219
20100112,7.37895203,-10.9891224,894.549377,66.8191757,361.679382,6.04E-07,0,1256.23621,7.21E-06,280.36853,1256.22888,19.7746315,0,17.2220802,280.36853,0,0,-40.8092842,8.02E-06,2.06E-07,0.007432433,987.75,6.99,10.63,3.58,0.06,2.36,1.6,0.41,-0.49,6633946,7341200,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188,536.1719,1162.7031
20100113,7.34498596,-8.49827003,894.500793,87.19664,360.794464,9.33E-08,0,1255.29785,9.72E-06,281.010193,1255.29541,25.6903419,0,18.6483898,281.010193,0,0,-51.3634567,1.04E-05,5.98E-07,0.00260858,986.79,7.3,12.04,1.73,0,2.23,1.05,0.24,-0.53,8415460,9314832,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312,528.9844,1150.9844
20100114,7.3101306,10.9001589,894.221252,113.787834,359.767151,8.06E-08,0,1253.9917,1.47E-05,283.702332,1253.98853,38.4589462,0,28.2168217,283.702332,0,0,-36.1961212,1.56E-05,8.38E-07,0.003315838,982.49,9.56,13.77,1.37,0.13,3.08,1.73,-1.11,-0.4,11886214,13157400,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312,522.5,1130.4219
20100115,7.33624315,-15.9688444,893.771484,31.8920517,359.378174,3.00E-07,0,1253.16003,5.18E-06,280.608185,1253.14966,13.7815971,0,3.17364001,280.608185,0,0,-30.9208107,5.59E-06,1.09E-07,0.010363278,989.12,7.82,12.01,3.22,0.13,3.77,1.71,1.02,-0.16,5490408,6076416,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875,517.0781,1110.8438
20100116,7.30183411,4.95324039,893.280457,111.10215,358.795776,2.01E-07,0,1252.0791,1.09E-05,283.269806,1252.07629,29.8584023,0,23.0824451,283.269806,0,0,-53.1980553,1.21E-05,9.73E-07,0.002862633,987.36,9.14,14.22,2.35,0,4.62,1.55,-0.92,-0.72,12000614,13287520,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375,462.29688,512.2969,1095.2812
20100117,7.29715824,-1.92537081,892.696655,90.4577484,358.251038,-7.48E-08,0,1250.94897,9.07E-06,283.356232,1250.94727,24.1667862,0,15.1085997,283.356232,0,0,-53.1113358,9.80E-06,7.99E-07,0.00127059,985.11,9.79,14.62,4.43,0,5.97,1.26,-0.72,-0.73,10151876,11242500,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375,458.29688,507.75,1082.7656
20100118,7.28591585,14.5849333,892.060913,101.839584,357.752502,1.20E-07,0,1249.82007,1.05E-05,286.127808,1249.81335,28.7201996,0,29.6692371,286.127808,0,0,-28.8508911,1.16E-05,9.93E-07,0.006670109,976.94,12.18,15.76,4.12,0.17,7.72,1.32,-0.88,-0.47,9465190,10485372,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188,453.95312,503.28125,1071.2344
20100119,7.3619976,5.14320946,891.411499,38.9418259,358.014404,1.69E-07,0,1249.45239,3.95E-06,285.797211,1249.4259,10.7468805,0,15.3163013,285.797211,0,0,-7.73301697,4.36E-06,2.36E-07,0.02646381,975.46,11.9,13.79,10.39,1.52,9.37,0.96,-0.31,0.54,3400824,3768148,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312,449.79688,498.95312,1060.4062
20100120,7.40309429,-7.28217173,891.059937,21.2057362,359.914307,6.48E-07,0,1251.00684,2.40E-06,283.950745,1250.97424,7.65784645,0,17.1233578,283.950745,0,0,-3.7130723,3.10E-06,5.32E-08,0.03258618,982.23,10.13,12.61,7.07,0.63,5.47,1.85,-0.98,1.25,2115404,2343860,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812,445.89062,495.45312,1051
20100121,7.39348316,2.76338744,890.944336,68.0121002,359.769867,6.31E-07,0,1250.72913,9.66E-06,285.179352,1250.71411,26.8538532,0,20.7348347,285.179352,0,0,-17.657053,1.09E-05,5.99E-07,0.014907763,984.88,10.98,14.03,6.91,2.47,5.12,1.72,-0.43,-0.13,11290312,12513316,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625,442.0625,491.26562,1041.9375
20100122,7.43389606,-13.2099905,891.051147,18.0443535,361.427643,8.81E-07,0,1252.50366,4.77E-06,282.204071,1252.47876,13.9897861,0,13.9577866,282.204071,0,0,-3.31444097,5.67E-06,2.04E-08,0.02493131,988.32,7.02,8.32,6.47,2.95,5.07,1.86,-0.87,0.36,1347680,1494092,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062,440.54688,487.95312,1034.8906
20100123,7.35973978,-12.4808197,891.347412,42.0798416,360.918915,5.85E-07,0,1252.27332,7.78E-06,281.004883,1252.26636,20.9295502,0,12.4034834,281.004883,0,0,-21.2306805,8.49E-06,1.17E-07,0.006988218,983.29,7.55,10.4,5.35,0.02,3.01,1.71,0.28,-1.18,5491070,6090088,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688,442.76562,487.92188,1034.9219
20100124,7.34109974,-12.8507862,891.377258,59.8446693,360.068268,1.04E-07,0,1251.44849,8.45E-06,280.696472,1251.44568,21.887188,0,13.791544,280.696472,0,0,-37.0253677,8.87E-06,3.21E-07,0.002984398,984.94,7.17,10.18,2.99,0,3.09,1.23,-0.13,0.03,4295798,4765156,6.1875,19.125,23.765625,110.625,161.70312,361.32812,361.54688,446.98438,489.57812,1038.6406
20100125,7.32402086,2.13375974,891.205261,90.7229538,359.380035,1.19E-07,0,1250.58777,1.05E-05,282.63205,1250.58533,27.5922165,0,21.2675438,282.63205,0,0,-39.7227325,1.12E-05,6.03E-07,0.002477326,987,8.53,13.17,2.84,0.09,4.06,1.58,0.75,-1.18,9675974,10734980,6.140625,19,23.578125,109.25,161.29688,365.48438,365.5625,449.75,491.29688,1044.2031
20100126,7.2844162,-2.67753005,890.864807,78.6488495,358.399872,8.72E-08,0,1249.26953,1.47E-05,282.390656,1249.26465,37.8669739,0,6.3956418,282.390656,0,0,-37.063652,1.54E-05,6.14E-07,0.004842345,977.22,9.47,13.29,4.82,0.15,0.77,2.28,-0.46,-1.09,9437756,10473888,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375,367.60938,450.95312,492.35938,1054.6719
20100127,7.26629257,-6.14386654,890.324097,124.699249,357.329712,1.89E-07,0,1247.65576,1.36E-05,282.530518,1247.65381,37.6296959,0,16.7346039,282.530518,0,0,-76.483139,1.53E-05,1.44E-06,0.001935582,977.57,8.76,14.78,4.14,0,2.43,1.63,0.03,-0.51,12355930,13714492,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188,365.5,450.875,492.57812,1068.0781
20100128,7.2644887,4.00519323,889.654358,114.761497,356.65979,-1.30E-08,0,1246.32031,1.13E-05,284.030029,1246.31409,31.0949306,0,19.721302,284.030029,0,0,-59.9350243,1.26E-05,1.32E-06,0.006170009,979.93,10.68,14.99,5.58,0,4.57,0.96,-0.54,0.44,11993446,13314480,6.140625,18.828125,23.21875,107.140625,156.60938,356.82812,361.0625,448.42188,491.78125,1077.6406
20100129,7.2500124,9.88297749,888.930847,104.884804,356.060577,4.17E-07,0,1244.99658,1.32E-05,285.805664,1244.99121,37.2986221,0,13.8768768,285.805664,0,0,-43.8176041,1.51E-05,1.50E-06,0.005203479,977.84,10.74,15.45,7.54,0,6.27,1.65,0.29,-1.19,6767888,7514136,6.234375,18.9375,23.375,107.3125,155.73438,351.98438,356.25,443.90625,490.125,1078.5938
20100130,7.26302338,-4.01662922,888.178955,60.6790085,355.925781,1.49E-07,0,1244.1134,7.58E-06,284.475891,1244.10474,20.6717072,0,11.3836603,284.475891,0,0,-32.6466255,8.38E-06,6.52E-07,0.008690045,976.93,11.1,14.94,6.71,0.01,7.14,1,-0.43,0.2,5862582,6510444,6.0625,18.640625,23.171875,109.1875,155.39062,347.59375,351.57812,438.54688,487.23438,1070.9062
20100131,7.24636841,3.68662024,887.443542,111.828148,355.575348,4.88E-07,0,1243.02539,1.21E-05,285.42865,1243.0188,34.7447586,0,14.8581944,285.42865,0,0,-58.5321426,1.41E-05,1.48E-06,0.006558768,976.86,11.68,16.35,7.06,0.2,6.76,1.75,-0.28,-0.73,9925396,11027000,5.984375,18.40625,22.84375,111.703125,155.82812,344.875,348.03125,433.70312,482.9375,1057.1719
20100201,7.25296783,4.45913219,886.640442,71.3874969,355.243347,2.16E-07,0,1241.89331,9.77E-06,285.74173,1241.88379,26.788784,0,14.6026659,285.74173,0,0,-25.5332947,1.09E-05,8.73E-07,0.009547344,975.94,11.43,14.56,7.84,0.56,7.11,1.14,-0.16,-1.03,6805366,7562164,5.921875,18.25,22.65625,113.453125,156.65625,344.10938,346.26562,429.90625,477.95312,1041.2031
20100202,7.32198238,-1.22370255,885.819153,53.2835312,355.925995,8.17E-07,0,1241.76758,7.26E-06,285.14505,1241.74524,21.0983086,0,12.0033169,285.14505,0,0,-21.4072113,8.55E-06,4.74E-07,0.022429334,977.73,10.02,13.46,7.32,0.5,6.05,1.28,-0.08,-1.21,3690728,4101940,5.890625,18.109375,22.484375,114.46875,157.60938,344.625,346.10938,427.29688,473.21875,1025.6094
20100203,7.30918121,-13.7866726,885.194153,53.5108986,356.632996,8.58E-07,0,1241.84131,9.45E-06,282.681793,1241.82751,26.5349407,0,8.88655376,282.681793,0,0,-31.887352,1.08E-05,4.45E-07,0.014169919,979.02,9.81,12.21,6.95,0.02,4.1,1.92,-0.3,-1.42,4674274,5198136,5.859375,18,22.359375,115.125,158.8125,346.23438,347.375,426.79688,469.75,1012.59375
20100204,7.30776882,-5.13297558,884.68042,78.7893524,356.664001,4.14E-07,0,1241.35217,1.07E-05,282.965149,1241.34424,29.0916367,0,13.3226919,282.965149,0,0,-41.5069733,1.18E-05,7.21E-07,0.007744325,977.93,9.74,13.24,6.51,0.42,4.87,1.22,-0.26,-0.58,6808588,7572704,5.828125,17.890625,22.234375,115.15625,160.29688,349.25,349.84375,429.34375,468.95312,1006.71875
20100205,7.2739501,-0.094533086,884.221191,71.8141327,356.57135,2.18E-07,0,1240.79822,9.46E-06,283.539703,1240.79248,25.4330826,0,14.4535275,283.539703,0,0,-32.016922,1.03E-05,6.36E-07,0.005666393,976.65,9.73,12.82,6.67,0.15,5.11,1.13,-0.71,-0.74,6153408,6844380,5.78125,17.765625,22.078125,114,160.96875,353.35938,353.39062,432.65625,471.67188,1013.6719
20100206,7.27447081,-8.40540791,883.72467,64.1820602,356.207092,1.94E-07,0,1239.93616,8.40E-06,282.86026,1239.9314,22.7697659,0,1.1321305,282.86026,0,0,-48.6944618,9.23E-06,6.36E-07,0.004414858,976.63,9.17,14.23,3.92,0,4.84,1.63,0.26,-1.49,5181328,5764156,5.75,17.625,21.9375,111.875,160.71875,356.34375,356.8125,435.125,475.59375,1033.2812
20100207,7.22743177,8.17553902,883.155029,136.337616,355.292786,9.76E-08,0,1238.4491,1.37E-05,285.266663,1238.44788,38.3789864,0,25.453413,285.266663,0,0,-64.3189926,1.56E-05,1.73E-06,0.001265782,971.76,11.39,16.72,3.88,0,6.27,1.78,-0.62,-1.14,14187298,15786912,5.71875,17.59375,22,110.28125,160.34375,356.625,358.34375,436.28125,477.9375,1057.125
20100208,7.22264051,-0.562215209,882.44751,90.1779099,354.504395,-4.97E-08,0,1236.953,1.04E-05,285.316864,1236.95142,28.8074379,0,12.45473,285.316864,0,0,-49.4832382,1.17E-05,1.31E-06,0.001111986,967.82,12.36,17.42,8.09,0.04,7.96,1.35,-0.28,-0.39,12093328,13458908,5.71875,17.5625,22.125,110.28125,160.25,354.28125,357.1875,436.125,478.09375,1077.5625
20100209,7.19336653,18.0017529,881.65564,135.613876,353.571869,5.25E-08,0,1235.22998,1.46E-05,288.828613,1235.22754,42.9073944,0,17.6568069,288.828613,0,0,-57.0326309,1.74E-05,2.71E-06,0.002421658,964.22,14.53,19.46,8.93,0.91,10.19,1.49,-1.14,-0.01,13186826,14679480,6.21875,18.8125,22.875,111.375,159.4375,350.96875,354.28125,434.5,476.65625,1089.3125
20100210,7.24169731,-3.42072606,880.793884,83.2354813,353.2836,9.88E-07,0,1234.08887,1.29E-05,286.934662,1234.07727,37.8231544,0,24.4971542,286.934662,0,0,-24.3475609,1.53E-05,1.41E-06,0.011427217,968.88,11.45,16.67,6.09,0.94,7.69,2.48,-2.15,0.66,4355306,4848112,6.625,20.40625,24.75,117.46875,162.28125,348.34375,351.28125,432.3125,474.625,1091.9062
20100211,7.33383369,-15.8392925,880.038635,36.9543915,354.593719,7.59E-07,0,1234.65088,6.36E-06,281.555481,1234.6322,17.6092453,0,30.3238373,281.555481,0,0,-4.8593955,7.14E-06,2.28E-08,0.018472273,985.3,6.01,6.38,5.62,2.28,2.55,1.77,-1.35,0.4,1732568,1929420,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125,351.0625,431.65625,472.8125,1087.8125
20100212,7.30859423,-16.0534344,879.654785,36.5220909,356.088531,8.73E-07,0,1235.76587,5.94E-06,280.69635,1235.74304,17.0066395,0,10.3845739,280.69635,0,0,-25.1906834,6.90E-06,8.12E-08,0.022602739,985.63,7.16,8.76,5.71,0.27,2.21,1.77,0.92,-0.92,3442250,3835318,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625,358.625,434.5,472.5625,1082.3125
20100213,7.25292397,-12.620903,879.395996,61.4713898,355.50528,7.79E-07,0,1234.91528,8.99E-06,280.070679,1234.90088,24.5077381,0,18.2018833,280.070679,0,0,-31.384407,9.94E-06,1.66E-07,0.014018654,979.16,5.48,8.04,3.34,1.14,-0.09,1.84,-0.26,-1.39,5326516,5934792,5.8125,18.28125,23.28125,145.5625,191.875,383.3125,375.34375,443.15625,473.9375,1080.625
20100214,7.30301714,-3.42021227,879.035645,79.4633331,355.422363,5.67E-07,0,1234.46997,1.02E-05,281.350769,1234.45801,27.5615883,0,19.8729172,281.350769,0,0,-35.4464531,1.12E-05,4.21E-07,0.01193796,982.34,6.5,9.64,3.23,1.3,2.18,1.21,-1.03,-0.49,7839080,8737328,5.71875,18.03125,23.4375,137.96875,202.28125,406.25,397.59375,460.28125,478.3125,1087.75
20100215,7.32862473,-11.080678,878.823425,59.5564308,356.314148,7.73E-07,0,1235.15698,7.18E-06,280.182404,1235.13733,19.9400368,0,17.6044083,280.182404,0,0,-33.0966148,8.08E-06,1.29E-07,0.019423906,986.11,5.92,8.49,2.91,1.01,2.99,1.44,-0.84,-0.76,5917476,6596408,5.59375,17.46875,22.84375,130.75,203.5625,423.25,418.375,485.4375,487.78125,1112.4062
20100216,7.3120842,-7.00613403,878.743958,78.272644,356.315399,7.68E-07,0,1235.07202,9.70E-06,280.355286,1235.05933,26.6141624,0,20.0458126,280.355286,0,0,-38.6186638,1.08E-05,3.21E-07,0.012631109,987.21,5.97,9.97,2.52,0.9,0.97,1.62,-0.64,-0.54,8073770,9004992,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625,427.65625,511.34375,505.125,1156.3125
20100217,7.30531263,2.41739345,878.615662,114.640648,355.889709,4.81E-07,0,1234.52295,1.31E-05,282.35376,1234.50525,35.843689,0,36.1979256,282.35376,0,0,-40.1766052,1.45E-05,9.48E-07,0.017573962,988.22,7.42,10.52,2.72,1.97,1.37,1.15,-1.05,-0.04,11633514,12979288,5.46875,16.96875,21.8125,116.125,189.15625,414.96875,422.65625,525.59375,528.90625,1211.5312
20100218,7.36145449,-15.27771,878.610046,70.2188644,357.163605,7.52E-07,0,1235.79651,7.07E-06,279.793976,1235.77344,19.7952976,0,23.7765083,279.793976,0,0,-41.9357681,8.03E-06,2.00E-07,0.022903118,988.75,5.62,7.92,3.41,3.15,3.4,0.86,0.2,0.3,5075406,5664948,5.4375,16.8125,21.5,110.9375,180.03125,398.0625,408.5,522.9375,553.09375,1264.6562
20100219,7.26261044,-9.35023499,878.703918,93.6036606,356.277374,6.14E-07,0,1234.98816,9.73E-06,279.740845,1234.98145,26.9124336,0,19.6257725,279.740845,0,0,-56.4162331,1.09E-05,5.69E-07,0.006900655,983.06,5.82,9.82,1.74,0,1.63,1.59,-0.91,-0.69,9527398,10638272,5.375,16.6875,21.34375,107.3125,171.28125,379.71875,390.78125,508.3125,568.3125,1302.375
20100220,7.25815964,7.23537922,878.473511,143.639801,354.974121,4.31E-08,0,1233.45056,1.44E-05,283.038269,1233.44763,40.3079453,0,34.4898491,283.038269,0,0,-61.5986099,1.63E-05,1.91E-06,0.002918828,978.4,8.45,12.84,2.94,1.82,2.81,1.42,-1.24,-0.38,15043426,16805068,5.5,17.9375,22.21875,104.90625,163.28125,362.25,372.84375,487.59375,568.21875,1309.375
20100221,7.2802906,-2.24237323,878.154236,93.6238251,355.482758,3.19E-07,0,1233.64185,9.16E-06,282.285797,1233.63684,25.2781887,0,24.7153282,282.285797,0,0,-45.8758545,1.02E-05,7.73E-07,0.004823223,977.73,8.29,12.74,3.93,1.32,3.93,1.17,-0.61,-0.53,9992264,11165442,6.75,21.9375,25.59375,105.5625,157.09375,347.09375,356.53125,465.53125,555.25,1285.5938
20100222,7.22066927,1.43062568,877.821533,113.772743,354.493164,1.80E-09,0,1232.31689,1.10E-05,283.362122,1232.3147,30.7751484,0,28.2243443,283.362122,0,0,-53.3395309,1.25E-05,1.47E-06,0.002187277,976.58,10.46,15.36,3.12,0,5.73,0.85,-0.34,-0.49,14976752,16743922,11.75,32.8125,35.3125,113.25,155.4375,335.34375,343.03125,445.15625,535,1243.1875
20100223,7.19796944,11.8683672,877.292969,126.633919,353.445526,-1.14E-08,0,1230.7478,1.24E-05,285.877716,1230.73877,35.7307167,0,33.4280243,285.877716,0,0,-45.5991898,1.45E-05,2.07E-06,0.009264792,964.68,11.92,15.66,6.86,0.13,7.73,1.38,-1.1,0.01,10528562,11774884,17.65625,45.90625,50.03125,134.59375,162.125,329.96875,334.1875,428.34375,512.4375,1190.7188
20100224,7.18106508,1.08069181,876.61853,124.17408,352.521851,5.32E-07,0,1229.14673,1.32E-05,285.387451,1229.14038,39.3745651,0,32.4667397,285.387451,0,0,-51.2545891,1.60E-05,2.20E-06,0.006364826,965.16,12.62,16.76,7.57,0.03,8.07,1.29,-0.06,0.38,9951404,11133046,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625,333.875,417.40625,491.4375,1136.7812
20100225,7.17612362,7.39526701,875.852844,94.80336,351.871246,-4.12E-09,0,1227.72925,1.07E-05,286.34024,1227.72412,30.5541248,0,7.48111439,286.34024,0,0,-49.3695335,1.24E-05,1.68E-06,0.005204425,970.95,12.81,18.44,7.32,0.02,8.68,1.67,0.76,-0.95,8283158,9270144,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875,343.9375,415.65625,473.84375,1088.5
20100226,7.13728189,11.4746332,875.020142,155.100067,350.859863,1.26E-07,0,1225.88574,1.58E-05,288.59967,1225.87927,49.4593773,0,23.8773022,288.59967,0,0,-70.2867508,2.01E-05,4.12E-06,0.005765243,970.44,14.78,21.1,7.39,0.05,10.09,1.11,-0.54,-0.64,15036690,16838038,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625,364.40625,425.0625,461.4375,1050.9375
20100227,7.09709549,20.3445072,874.083374,158.202011,349.503143,2.01E-07,0,1223.58862,1.92E-05,291.307922,1223.58655,59.810955,0,22.923769,291.307922,0,0,-55.1147346,2.42E-05,4.89E-06,0.00210006,966.69,17.98,22.85,8.34,0.07,12.28,1.8,-0.1,-1.5,14861534,16648806,29.8125,73.4375,83.28125,350,287.875,424.15625,401.5,446.90625,456.46875,1029
20100228,7.07044697,13.7192678,873.008728,151.871628,348.06134,3.54E-08,0,1221.07275,1.88E-05,292.06427,1221.06995,60.4134216,0,21.4729462,292.06427,0,0,-56.2642746,2.45E-05,5.67E-06,0.002689131,966.38,18.01,23.77,12.43,0.1,13.64,1.44,-0.57,0.51,11500796,12889070,30.1875,74.625,84.75,419.96875,376.03125,510.96875,472.75,488.90625,462.0625,1026.2188
20100301,7.04610825,9.18333149,871.85083,133.901627,346.924866,1.43E-07,0,1218.77747,1.93E-05,291.826996,1218.77563,60.0820999,0,5.37136126,291.826996,0,0,-59.2656898,2.44E-05,4.94E-06,0.001748872,966.76,17.61,24.63,12.27,0,12.05,1.88,0.45,-1.38,13860128,15538790,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875,589.9375,569.4375,484.5625,1045.0625
20100302,7.21746111,3.05610108,870.661865,89.6862869,347.262909,5.15E-07,0,1217.93738,1.48E-05,290.106934,1217.92468,44.4304008,0,25.8952427,290.106934,0,0,-16.304512,1.80E-05,2.67E-06,0.012548592,968.88,14.34,17.68,10.23,4.52,10.36,1.81,-1.02,-1.02,5178310,5807532,28.5625,68.96875,79.1875,448.125,521.03125,765.34375,724,701.5,538.28125,1097.125
20100303,7.26146889,-14.4278088,869.837708,29.0654774,350.72229,7.59E-07,0,1220.5885,4.59E-06,285.175568,1220.55994,13.7423248,0,16.5322151,285.175568,0,0,-13.2224274,5.57E-06,2.22E-07,0.028509216,973.13,10.33,11.27,8.93,0.78,7.96,1.09,-0.71,0.45,1793318,2012138,28.125,69.71875,80.71875,445.375,548.78125,866.09375,834.875,863.8125,642.15625,1205.5625
20100304,7.17448854,0.364441752,869.364624,88.1283417,351.037476,1.12E-06,0,1220.41748,1.20E-05,286.984131,1220.40198,35.8504372,0,31.2830505,286.984131,0,0,-20.6288719,1.45E-05,1.41E-06,0.015353966,969.72,12.46,16.05,8.26,0.3,8.07,1.95,-1.28,-0.54,8003902.5,8984842,25.5,63.75,75.6875,445.25,557.4375,955.09375,926.75,1017.65625,792.5,1382.5
20100305,7.30923986,-0.209856734,868.931824,70.3448715,351.779846,8.74E-07,0,1220.73181,1.02E-05,287.057068,1220.71167,30.274025,0,21.5104408,287.057068,0,0,-18.7703838,1.23E-05,1.19E-06,0.020161703,972.65,12.31,15.24,9.24,5.51,8.22,1.56,-0.9,-0.34,6320806.5,7098037,23.34375,58.8125,69.84375,421.5,548.4375,1008.375,993.46875,1128.6875,953.71875,1604.375
20100306,7.33093929,-10.1660938,868.9245,38.2968826,353.91037,1.21E-06,0,1222.86096,6.76E-06,284.60614,1222.83459,20.4695625,0,14.2159004,284.60614,0,0,-13.781497,8.30E-06,3.28E-07,0.026064923,980.21,10.92,13.25,8.77,3.4,7.43,1.37,-0.58,-0.91,5048033.5,5671250,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375,1012.34375,1186.5,1091.5312,1846.5312
20100307,7.37770939,-7.25653219,869.275391,76.3538132,354.686554,1.01E-06,0,1223.97742,1.41E-05,284.406708,1223.96204,39.9408646,0,21.4626522,284.406708,0,0,-22.208128,1.62E-05,1.06E-06,0.015481737,979.18,10.79,14,7.74,3.11,4.69,2.04,0.99,-1.59,8410172,9453314,18.6875,47.5,57.46875,370,504.75,983.78125,993.625,1195.4688,1184,2079.5938
20100308,7.35497379,-14.4377766,870.19165,36.2195511,356.651398,1.46E-06,0,1226.8656,6.71E-06,281.998718,1226.8429,20.3136311,0,15.1877441,281.998718,0,0,-15.1608686,8.24E-06,6.85E-08,0.022583503,989.66,8.25,9.89,5.99,3.61,4.54,2.44,-2.23,-0.73,3521315.2,3959344,16.65625,42.625,52.125,338.40625,478.875,942.0625,956.21875,1168.5625,1224.5938,2250.6562
